icao,iata,name,country_code,active
EXV,8D,Expo Aviation,LK,false
EZA,,Eznis Airways,MN,true
EZE,T3,Eastern Airways,GB,true
EZY,U2,easyJet,GB,true
FAB,7F,First Air,CA,true
FAJ,PC,Air Fiji,FJ,false
FBL,F1,Fly Brasil,BR,true
FCA,DP,First Choice Airways,GB,true
FCB,,COBALT,CY,true
FCL,PA,Florida Coastal Airlines,US,false
FCM,,Flybe Finland Oy,FI,true
FDB,FZ,Fly Dubai,AE,true
FDD,,Feeder Airlines,SD,true
FDX,FX,Federal Express,US,false
FEG,,FlyEgypt,EG,true
FFM,FY,Firefly,MY,true
FFR,8F,Fischer Air,CZ,false
FFT,F9,Frontier Airlines,US,true
FFV,5H,Fly540,KE,true
FHE,HW,Hello,CH,true
FHI,FH,FlyHigh Airlines Ireland (FH),IE,true
FIF,OF,Air Finland,FI,true
FIN,AY,Finnair,FI,true
FIX,,Airfix Aviation,FI,true
FJI,FJ,Air Pacific,FJ,true
FJM,,Fly Jamaica Airways,JM,true
FKA,,Flying kangaroo Airline,AU,true
FLB,,German Air Force - FLB,DE,true
FLG,9E,Pinnacle Airlines,US,true
FLI,RC,Atlantic Airways,FO,true
FLM,F2,Fly Air,TR,false
FLT,B5,Flightline,GB,true
FLY,SH,Fly Me Sweden,SE,false
FLZ,QH,Air Florida,US,true
FNA,,Norlandair,IS,true
FNC,4S,Finalair Congo,CG,false
FOS,VY,Formosa Airlines,TW,true
FOX,FX,FOX Linhas Aereas,BR,true
FPT,PO,FlyPortugal,PT,true
FQR,WL,CheapFlyingInternational,FR,false
FRE,FP,Freedom Air,US,true
FRF,FF,Fly France,FR,true
FRL,,Freedom Airlines,US,true
FSC,HK,Four Star Aviation / Four Star Cargo,US,false
FSW,F3,Faso Airways,BF,false
FTA,2F,Frontier Flying Service,US,true
FUA,FH,Futura International Airways,ES,false
FVM,,Flugfelag Vestmannaeyja,IS,true
FWA,I4,Interstate Airline,NL,false
FWI,TX,Air Caraïbes,FR,true
FWL,RF,Florida West International Airways,US,true
FXI,NY,Air Iceland,IS,true
FXX,FU,Felix Airways,YE,true
FYH,,Flyhy Cargo Airlines,TH,true
FYJ,,FLYJET,PL,true
FZA,,Fuzhou Airlines,CN,true
FZW,,Fly Africa Zimbabwe,ZW,true
GAI,3R,Moskovia Airlines,RU,true
GAL,7O,Galaxy Air,KG,false
GAO,DC,Golden Air,SE,true
GAP,2P,Air Philippines,PH,true
GBA,GF,Gulf Air Bahrain,BH,true
GBK,GY,Gabon Airlines,GA,true
GBL,GT,GB Airways,GB,true
GCA,,Grand Cru Airlines,LT,true
GCO,GR,Gemini Air Cargo,US,false
GCR,,Tianjin Airlines,CN,true
GDC,,Grand China Air,CN,true
GDR,GP,Gadair European Airlines,ES,true
GEC,LH,Lufthansa Cargo,DE,true
GER,GM,German International Air Lines,DE,true
GES,GP,Gestair,ES,false
GFA,,Gulf Air,OM,true
GFG,QB,Georgian National Airlines,GE,true
GFI,8B,Caribbean Star Airlines,AG,false
GFT,,Gulfstream International Airlines,US,true
GFY,XX,Greenfly,ES,true
GGC,GG,Cargo 360,US,false
GGN,ZX,Air Georgian,CA,false
GHB,G0,Ghana International Airlines,GH,true
GIA,GA,Garuda Indonesia,ID,true
GIE,E4,Elysian Airlines,CM,true
GIF,J9,Guinee Airlines,GN,false
GIP,2U,Air Guinee Express,GN,true
GJS,G7,GoJet Airlines,US,true
GLA,ZK,Great Lakes Airlines,US,true
GLG,2K,Aerolineas Galapagos (Aerogal),EC,true
GLO,G3,Gol Transportes Aéreos,BR,true
GLP,GH,Globus,RU,true
GMI,ST,Germania,DE,true
GMR,,Golden Myanmar Airlines,MM,true
GNF,G7,Gandalf Airlines,IT,false
GNN,,Georgian International Airlines,GE,true
GNR,GC,Gambia International Airlines,GM,false
GNT,0A,Amber Air,LT,false
GOD,GD,GoDutch,NL,false
GOW,G8,Go Air,IN,true
GRG,DA,Air Georgia,GE,false
GRL,GL,Air Greenland,DK,true
GRN,E2,Rio Grande Air,US,false
GRO,LL,Allegro,MX,false
GSM,B4,Flyglobespan,GB,true
GTA,E8,City Airways,TH,true
GTI,5Y,Atlas Air,US,true
GUI,3X,Aguilar Connect,CL,false
GUJ,G8,Gujarat Airways,IN,false
GUN,GS,Grant Aviation,US,false
GUY,GG,Air Guyane,GF,true
GWI,4U,Germanwings,DE,true
GWL,IJ,Great Wall Airlines,CN,false
GWY,U5,USA3000 Airlines,US,true
GXG,GX,GermanXL,DE,true
GZP,4G,Gazpromavia,RU,true
HAD,H9,Air D'Ayiti,HT,false
HAG,H6,Hageland Aviation Services,US,true
HAH,GG,Air Comores International,KM,false
HAL,HA,Hawaiian Airlines,US,true
HAM,2T,Haiti Ambassador Airlines,HT,true
HAR,HB,Harbor Airlines,US,false
HAY,,Hamburg Airways,DE,true
HBH,,Hebei Airlines,CN,true
HBR,,Hebradran Air Services,GB,true
HCC,,Holidays Czech Airlines,CZ,true
HCW,V9,Star1 Airlines,LT,true
HCY,ZU,Helios Airways,CY,false
HDA,KA,Dragonair,,true
HEJ,T4,Hellas Jet,GR,true
HER,UD,Hex'Air,FR,true
HEY,1H,Hellenic Airways,GR,false
HFR,8H,Heli France,FR,true
HFY,5K,Hi Fly,PT,false
HGK,N8,Fika Salaama Airlines,UG,false
HHI,4R,Hamburg International,DE,true
HHN,HR,Hahn Air,DE,false
HKA,SO,Superior Aviation,US,false
HKE,UO,Hong Kong Express Airways,HK,true
HLF,HF,Hapagfly,DE,true
HLX,X3,TUIfly,DE,true
HMR,,North American Charters,CA,true
HMS,DU,Hemus Air,BG,false
HMY,HQ,Harmony Airways,CA,false
HNX,HN,Hankook Airline,KR,true
HOA,H5,Hola Airlines,ES,false
HPA,HP,Pearl Airways,HT,false
HPY,,Happy Air,TH,true
HRH,WR,Royal Tongan Airlines,TO,false
HRM,,Hermes Airlines,GR,true
HSA,S9,East African Safari Air,KE,false
HSK,,Sky Europe Airlines,SK,true
HTH,,Helitt Líneas Aéreas,ES,true
HVK,,Turkish Air Force,TR,true
HVN,VN,Vietnam Airlines,VN,true
HVY,HN,Heavylift Cargo Airlines,AU,false
HWY,,Highland Airways,GB,true
HYM,HC,Himalayan Airlines,NP,true
HZA,BN,Horizon Airlines,AU,true
HZT,8C,Air Horizon,TG,false
IAA,IO,Indonesian Airlines,ID,true
IAC,IC,Indian Airlines,IN,true
IAM,,Aeronautica Militare,IT,true
IAW,IA,Iraqi Airways,IQ,true
IBB,NT,Binter Canarias,ES,true
IBE,IB,Iberia Airlines,ES,true
IBK,,Norwegian Air International (D8),NO,true
IBS,I2,Iberia Express,ES,true
IBU,I9,Indigo,US,true
IBX,FW,Ibex Airlines,JP,true
IBZ,6I,International Business Air,SE,false
ICE,FI,Icelandair,IS,true
ICL,5C,CAL Cargo Air Lines,IL,true
ICT,RS,Intercontinental de Aviaci,CO,false
IDE,DH,Independence Air,US,false
IDS,I5,Indonesia Sky,ID,true
IDX,,Indonesa Air Aisa X,ID,true
IGO,6E,IndiGo Airlines,IN,true
IIA,,AIR INDOCHINE,VN,true
IIN,H4,Inter Islands Airlines,CV,false
IIR,Z5,INAVIA Internacional,AR,true
IJT,IJ,InteliJet Airways,CO,false
IKA,GI,Itek Air,KG,true
ILN,D6,Interair South Africa,ZA,true
ILW,IL,Illinois Airways,US,false
ILY,IL,Fly Illi,US,false
IMP,HT,Hellenic Imperial Airways,GR,true
IMX,C4,Zimex Aviation,CH,false
INE,9I,International Europe,ES,true
IPV,PA,Parmiss Airlines (IPV),IR,true
IRA,IR,Iran Air,IR,true
IRC,EP,Iran Aseman Airlines,IR,true
IRK,Y9,Kish Air,IR,true
IRM,W5,Mahan Air,IR,true
ISG,6P,Club Air,IT,false
ISK,3L,Intersky,AT,true
ISR,6H,Israir,IL,true
ISS,IG,Meridiana,IT,true
ISV,WC,Islena De Inversiones,HN,true
ISW,IF,Islas Airways,ES,true
ISX,IP,Island Spirit,IS,true
ITK,ID,Interlink Airlines,ZA,true
ITX,IK,Imair Airlines,AZ,true
ITY,AZ,ITA Airways,IT,true
IWA,ZM,Apache Air,US,true
IWD,TY,Iberworld,ES,true
