icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
AT3T,Air,TRACTOR AT-302/402,AIR TRACTOR AT-302/402,TRACTOR AT-302/402,TURBOPROP,TURBOPROP,1,L
AT43,ATR,42-300,ATR-42-300,ATR,TURBOPROP,TURBOPROP,2,M
AT44,ATR,42-400,ATR-42-400,ATR,TURBOPROP,TURBOPROP,2,M
AT45,ATR,42-500,ATR-42-500,ATR,TURBOPROP,TURBOPROP,2,M
AT46,ATR,42-600,ATR-42-600,ATR,TURBOPROP,TURBOPROP,2,M
AT5T,Air,TRACTOR AT-504,AIR TRACTOR AT-504,ATR,TURBOPROP,TURBOPROP,1,L
AT6T,Air,TRACTOR AT-602,AIR TRACTOR AT-602,ATR,TURBOPROP,TURBOPROP,1,L
AT72,ATR,72-202,ATR-72-202,ATR,TURBOPROP,TURBOPROP,2,M
AT73,ATR,72-212,ATR-72-212,ATR,TURBOPROP,TURBOPROP,2,M
AT75,ATR,72-500,ATR-72-500,ATR,TURBOPROP,TURBOPROP,2,M
AT76,ATR,72-600,ATR-72-600,ATR,TURBOPROP,TURBOPROP,2,M
AT8T,Air,TRACTOR AT-802,AIR TRACTOR AT-802,ATR,TURBOPROP,TURBOPROP,1,M
ATG1,Atg,1 Javelin,ATG 1 Javelin,1 Javelin,BUSINESS,JET,2,L
ATLA,Breguet,Atlantic,BREGUET Atlantic,Atlantic,TURBOPROP,TURBOPROP,2,M
ATP,British Aerospace,ATP,BRITISH AEROSPACE ATP,ATP,TURBOPROP,TURBOPROP,2,M
AVK4,Avtek,400,AVTEK 400,400,TURBOPROP,TURBOPROP,2,L
AVLN,Airmaster,Avalon 680,AIRMASTER Avalon 680,Avalon 680,TURBOPROP,TURBOPROP,1,L
B1,Rockwell,B-1 Lancer,ROCKWELL B-1 Lancer,B-1 Lancer,WIDE,JET,4,H
B18T,Beech,18 Turbine,BEECH 18 Turbine,18 Turbine,TURBOPROP,TURBOPROP,2,L
B190,Beech,1900,BEECH 1900,1900,TURBOPROP,TURBOPROP,2,M
B2,Northrop,GRUMMAN B-2 Spirit,NORTHROP GRUMMAN B-2 Spirit,GRUMMAN B-2 Spirit,WIDE,JET,4,H
B21,Northrop,GRUMMAN B-21 Raider,NORTHROP GRUMMAN B-21 Raider,GRUMMAN B-21 Raider,WIDE,JET,2,H
B350,Beechcraft,Super King Air 350,BEECHCRAFT Super King Air 350,Super King Air 350,TURBOPROP,TURBOPROP,2,M
B36T,Beech,36 Turbine Bonanza,BEECH 36 Turbine Bonanza,36 Turbine Bonanza,TURBOPROP,TURBOPROP,1,L
B37M,Boeing,737 MAX 7,BOEING 737 MAX 7,737,NARROW,JET,2,M
B38M,Boeing,737 MAX 8,BOEING 737 MAX 8,737,NARROW,JET,2,M
B39M,Boeing,737 MAX 9,BOEING 737 MAX 9,737,NARROW,JET,2,M
B3XM,Boeing,737 MAX 10,BOEING 737 MAX 10,737,NARROW,JET,2,M
B461,British Aerospace,146-100 Statesman,BRITISH AEROSPACE 146-100 Statesman,BAe 146,REGIONAL,JET,4,M
B462,British Aerospace,146-200 Quiet Trader,BRITISH AEROSPACE 146-200 Quiet Trader,BAe 146,REGIONAL,JET,4,M
B463,British Aerospace,146-300,BRITISH AEROSPACE 146-300,BAe 146,REGIONAL,JET,4,M
B52,Boeing,B-52 Stratofortress,BOEING B-52 Stratofortress,B-52 Stratofortress,WIDE,JET,8,H
B60T,Beech,60 Royal Turbine Duke,BEECH 60 Royal Turbine Duke,60 Royal Turbine Duke,TURBOPROP,TURBOPROP,2,L
B701,Boeing,707-100,BOEING 707-100,707,NARROW,JET,4,M
B703,Boeing,707-300,BOEING 707-300,707,WIDE,JET,4,H
B712,Boeing,717-200,BOEING 717-200,717,NARROW,JET,2,M
B720,Boeing,720,BOEING 720,727,NARROW,JET,4,M
B721,Boeing,727-100,BOEING 727-100,727,NARROW,JET,3,M
B722,Boeing,727-200,BOEING 727-200,727,NARROW,JET,3,M
B732,Boeing,737-200,BOEING 737-200,737,NARROW,JET,2,M
B733,Boeing,737-300,BOEING 737-300,737,NARROW,JET,2,M
B734,Boeing,737-400,BOEING 737-400,737,NARROW,JET,2,M
B735,Boeing,737-500,BOEING 737-500,737,NARROW,JET,2,M
B736,Boeing,737-600,BOEING 737-600,737,NARROW,JET,2,M
B737,Boeing,737-700,BOEING 737-700,737,NARROW,JET,2,M
B738,Boeing,737-800,BOEING 737-800,737,NARROW,JET,2,M
B739,Boeing,737-900,BOEING 737-900,737,NARROW,JET,2,M
B741,Boeing,747-100,BOEING 747-100,747,WIDE,JET,4,H
B742,Boeing,747-200,BOEING 747-200,747,WIDE,JET,4,H
B743,Boeing,747-300,BOEING 747-300,747,WIDE,JET,4,H
B744,Boeing,747-400,BOEING 747-400,747,WIDE,JET,4,H
B748,Boeing,747-8,BOEING 747-8,747,WIDE,JET,4,H
B74R,Boeing,747SR,BOEING 747SR,747,WIDE,JET,4,H
B74S,Boeing,747SP,BOEING 747SP,747,WIDE,JET,4,H
B752,Boeing,757-200,BOEING 757-200,757,NARROW,JET,2,M
B753,Boeing,757-300,BOEING 757-300,757,NARROW,JET,2,M
B762,Boeing,767-200,BOEING 767-200,767,WIDE,JET,2,H
B763,Boeing,767-300,BOEING 767-300,767,WIDE,JET,2,H
B764,Boeing,767-400,BOEING 767-400,767,WIDE,JET,2,H
B772,Boeing,777-200,BOEING 777-200,777,WIDE,JET,2,H
B773,Boeing,777-300,BOEING 777-300,777,WIDE,JET,2,H
B778,Boeing,777-8,BOEING 777-8,777,WIDE,JET,2,H
B779,Boeing,777-9,BOEING 777-9,777,WIDE,JET,2,H
B77L,Boeing,777-200LR,BOEING 777-200LR,777,WIDE,JET,2,H
B77W,Boeing,777-300ER,BOEING 777-300ER,777,WIDE,JET,2,H
B788,Boeing,787-8 Dreamliner,BOEING 787-8 Dreamliner,787,WIDE,JET,2,H
B789,Boeing,787-9 Dreamliner,BOEING 787-9 Dreamliner,787,WIDE,JET,2,H
B78X,Boeing,787-10 Dreamliner,BOEING 787-10 Dreamliner,787,WIDE,JET,2,H
BA11,Bac,1-11,BAC 1-11,1-11,REGIONAL,JET,2,M
BCS1,Airbus,A220-100,AIRBUS A220-100,A220,NARROW,JET,2,M
BCS3,Airbus,A220-300,AIRBUS A220-300,A220,NARROW,JET,2,M
BD10,Bede,BD-10 Falcon,BEDE BD-10 Falcon,BD-10 Falcon,BUSINESS,JET,1,L
BD5J,Bede,BD-5J,BEDE BD-5J,BD-5J,BUSINESS,JET,1,L
BD5T,Bede,BD-5TP,BEDE BD-5TP,BD-5TP,TURBOPROP,TURBOPROP,1,L
BE10,Beech,100 King Air,BEECH 100 King Air,100 King Air,TURBOPROP,TURBOPROP,2,L
BE12,Beriev,Be-12 Tchaika,BERIEV Be-12 Tchaika,Be-12 Tchaika,TURBOPROP,TURBOPROP,2,M
BE20,Beech,200 Super King Air,BEECH 200 Super King Air,200 Super King Air,TURBOPROP,TURBOPROP,2,M
BE22,Beechcraft,220 Denali,BEECHCRAFT 220 Denali,220 Denali,TURBOPROP,TURBOPROP,1,L
BE30,Beech,300 Super King Air,BEECH 300 Super King Air,300 Super King Air,TURBOPROP,TURBOPROP,2,L
BE32,Beriev,Be-32,BERIEV Be-32,Be-32,TURBOPROP,TURBOPROP,2,M
BE40,Beech,400 Beechjet,BEECH 400 Beechjet,400 Beechjet,REGIONAL,JET,2,M
BE4W,Beech,400XT Beechjet,BEECH 400XT Beechjet,400XT Beechjet,REGIONAL,JET,2,M
BE99,Beech,99 Airliner,BEECH 99 Airliner,99 Airliner,TURBOPROP,TURBOPROP,2,L
BE9L,Beech,90 King Air,BEECH 90 King Air,90 King Air,TURBOPROP,TURBOPROP,2,L
BE9T,Beech,F90 King Air,BEECH F90 King Air,F90 King Air,TURBOPROP,TURBOPROP,2,L
BELF,Short,SC-5 Belfast,SHORT SC-5 Belfast,SC-5 Belfast,TURBOPROP,TURBOPROP,4,M
